12	11	
22	11	
31	11	
33	11	
37	11	
38	11	
41	11	
56	11	
68	11	
70	11	
91	11	
97	11	
98	11	
101	11	
114	11	
127	11	
135	11	
137	11	
151	11	
154	11	
173	11	
177	11	
185	11	
189	11	
197	11	
204	11	
222	11	
229	11	
236	11	
247	11	
249	11	
260	11	
268	11	
272	11	
274	11	
280	11	
286	11	
293	11	
296	11	
298	11	
312	11	
321	11	
337	11	
345	11	
355	11	
356	11	
361	11	
364	11	
365	11	
373	11	
393	11	
400	11	
410	11	
421	11	
435	11	
440	11	
450	11	
461	11	
465	11	
483	11	
489	11	
492	11	
521	11	
522	11	
524	11	
526	11	
533	11	
534	11	
549	11	
552	11	
560	11	
575	11	
579	11	
610	11	
615	11	
616	11	
617	11	
648	11	
668	11	
690	11	
692	11	
700	11	
713	11	
716	11	
719	11	
721	11	
726	11	
748	11	
753	11	
760	11	
761	11	
765	11	
790	11	
792	11	
870	11	
873	11	
879	11	
887	11	
898	11	
910	11	
919	11	
928	11	
929	11	
940	11	
941	11	
950	11	
952	11	
956	11	
972	11	
986	11	
987	11	
994	11	
21	5	
32	5	
45	5	
67	5	
79	5	
82	5	
92	5	
104	5	
116	5	
157	5	
186	5	
202	5	
214	5	
226	5	
231	5	
232	5	
243	5	
244	5	
245	5	
251	5	
262	5	
275	5	
308	5	
359	5	
369	5	
370	5	
386	5	
402	5	
422	5	
438	5	
442	5	
463	5	
471	5	
480	5	
491	5	
493	5	
499	5	
507	5	
511	5	
514	5	
520	5	
529	5	
580	5	
599	5	
604	5	
624	5	
625	5	
632	5	
650	5	
658	5	
659	5	
661	5	
681	5	
683	5	
685	5	
686	5	
703	5	
706	5	
710	5	
717	5	
727	5	
730	5	
740	5	
750	5	
758	5	
767	5	
776	5	
782	5	
783	5	
787	5	
794	5	
796	5	
839	5	
840	5	
846	5	
860	5	
878	5	
880	5	
881	5	
897	5	
912	5	
916	5	
918	5	
934	5	
938	5	
946	5	
947	5	
955	5	
964	5	
965	5	
969	5	
971	5	
985	5	
991	5	
4	8	
9	8	
10	8	
11	8	
29	8	
30	8	
58	8	
59	8	
74	8	
77	8	
95	8	
99	8	
100	8	
115	8	
117	8	
122	8	
126	8	
128	8	
143	8	
147	8	
148	8	
153	8	
156	8	
175	8	
187	8	
215	8	
227	8	
254	8	
256	8	
258	8	
265	8	
271	8	
283	8	
287	8	
289	8	
309	8	
314	8	
326	8	
330	8	
338	8	
379	8	
382	8	
408	8	
415	8	
417	8	
424	8	
452	8	
460	8	
462	8	
464	8	
476	8	
495	8	
