1	5 
2	4 
3	2 
4	11 
5	1 
6	7 
7	10 
8	2 
9	11 
10	9 
11	1 
12	6 
13	5 
14	7 
15	7 
16	1 9 
17	1 
18	2 
19	6 
20	3 11 
21	4 
22	6 
23	8 
24	2 
25	6 
26	7 
27	4 
28	2 
29	8 
30	4 
31	9 
32	1 5 
33	2 
34	10 
35	2 4 
36	10 
37	8 
38	2 
39	2 
40	2 
41	4 
42	1 
43	10 
44	4 8 
45	5 
46	10 
47	3 
48	7 
49	5 
50	10 
51	2 
52	7 
53	6 
54	1 
55	11 
56	4 
57	1 
58	4 9 
59	6 
60	8 
61	10 
62	6 
63	11 
64	11 
65	4 
66	3 
67	7 
68	1 
69	7 
70	9 
71	10 11 
72	4 
73	5 8 
74	3 
75	5 
76	7 
77	3 
78	4 
79	5 
80	5 
81	1 
82	6 
83	4 
84	7 
85	8 
86	8 
87	4 
88	8 11 
89	2 
90	3 
91	1 10 
92	1 
93	1 
94	6 9 
95	2 
96	6 8 
97	1 
98	1 
99	3 8 
100	3 
101	7 9 
102	6 
103	8 
104	3 
105	7 
106	8 
107	6 
108	1 
109	11 
110	10 
111	5 
112	2 
113	4 
114	5 
115	5 
116	7 
117	3 
118	2 
119	6 
120	3 
121	11 
122	4 
123	11 
124	8 
125	4 
126	2 
127	9 
128	8 
129	10 
130	2 
131	11 
132	4 
133	5 
134	8 
135	4 
136	4 
137	4 
138	10 
139	1 
140	10 
141	10 
142	8 
143	6 
144	9 
145	5 
146	8 10 
147	9 
148	3 
149	5 
150	9 
151	6 
152	7 
153	2 
154	11 
155	6 
156	4 
157	7 
158	1 5 
159	8 10 
160	5 
161	5 
162	7 
163	11 
164	6 
165	6 7 
166	1 6 
167	2 
168	2 
169	5 
170	3 
171	9 
172	9 
173	4 5 
174	1 
175	6 
176	2 
177	6 10 
178	11 
179	1 9 
180	11 
181	1 
182	9 
183	8 
184	7 
185	7 
186	8 9 
187	8 
188	11 
189	11 
190	9 
191	6 
192	2 
193	4 
194	4 6 
195	3 
196	1 
197	8 
198	11 
199	4 
200	8 
201	6 
202	1 
203	10 
204	6 
205	9 
206	5 
207	10 
208	7 
209	7 
210	2 
211	1 
212	5 
213	1 
214	5 
215	5 
216	6 
217	8 
218	6 
219	8 
220	1 
221	5 
222	4 
223	7 
224	4 11 
225	2 
226	9 
227	2 
228	11 
229	3 10 
230	3 
231	3 
232	4 
233	6 
234	2 
235	6 
236	5 
237	5 
238	2 
239	5 
240	6 
241	9 
242	8 
243	5 
244	9 
245	10 
246	9 
247	10 
248	1 9 
249	7 
250	4 9 
251	4 
252	6 
253	1 4 
254	9 
255	8 
256	1 
257	9 
258	1 
259	3 
260	4 9 
261	6 
262	9 10 
