degree distribution (probability density function of the degree in logarithmic bins) 
7	0.423015
8	0.279145
9	0.205952
10	0.147618
11	0.117068
12	0.0798848
13	0.0666694
14.5213	0.0958453

degree distribution (degree-occurrences) 
7	0.2345
8	0.167
9	0.1435
10	0.111
11	0.095
12	0.0755
13	0.068
14	0.0505
15	0.055


--------------------------------------
community distribution (size-occurrences)
204	0.0555556
207	0.0555556
209	0.0555556
211	0.111111
213	0.0555556
214	0.0555556
217	0.0555556
218	0.0555556
221	0.111111
226	0.0555556
227	0.0555556
231	0.0555556
235	0.0555556
241	0.0555556
247	0.111111


--------------------------------------
mixing parameter
0	0.122
0.0725561	0.1025
0.0833333	0.0615
0.0909091	0.0855
0.1	0.1105
0.111111	0.127
0.126439	0.165
0.142857	0.178
0.153846	0.024
0.166667	0.014
0.181818	0.0095
0.222222	0.0005

--------------------------------------
